,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,Pos2,Value,stats_id,player_id
1313,James Justin,ENG,1.0,Leicester City,Premier League,24.0,13.0,11.0,998.0,0.0,0.45,0.09,20.0,0.0,10.6,0.0,0.0,0.0,47.2,80.2,92.0,83.9,44.3,0.0,0.81,0.27,58.8,0.63,8.29,0.99,0.99,0.0,10.8,35.4,1.89,1.44,0.09,1.26,1.08,0.45,0.81,50.0,16.3,2.52,0.45,0.0,2.43,5.23,4.05,25.9,31.9,18.4,0.36,1.08,33.3,40.3,160.1,93.2,1.26,42.3,91.3,0.0,0.0,0.0,0.72,1.26,0.09,0.99,0.0,0.0,1.53,1.53,50.0,,2500000000.0,1314,1314
1314,Jutglà,ESP,3.0,Barcelona,La Liga,23.0,6.0,4.0,301.0,0.3,3.03,1.21,40.0,0.1,16.6,0.0,0.0,0.0,29.7,81.0,91.0,77.4,83.3,0.0,1.52,0.61,36.7,0.3,4.55,0.3,1.21,0.0,4.85,29.7,0.61,2.73,0.3,0.0,0.3,0.61,0.3,33.3,13.6,0.91,0.3,0.0,0.61,1.52,0.0,3.03,21.2,25.2,0.61,1.52,40.0,31.8,164.2,74.8,1.52,39.4,79.8,0.3,0.0,0.0,1.52,2.73,0.3,1.21,0.0,0.0,1.21,0.91,57.1,,0.0,1315,1315
1315,Jens Jønsson,DEN,2.0,Cádiz,La Liga,29.0,22.0,17.0,1303.0,0.0,0.41,0.0,0.0,0.0,13.8,0.0,0.0,0.0,18.4,79.2,86.9,80.6,54.5,0.07,0.34,0.14,23.2,0.28,4.21,0.34,0.41,0.0,2.9,16.2,0.62,1.03,0.14,1.72,1.17,0.21,1.24,51.4,17.2,1.38,0.55,0.0,2.07,5.17,3.45,12.1,17.2,5.45,0.41,0.55,75.0,15.9,76.1,23.9,0.41,14.3,81.6,0.21,0.0,0.0,1.17,0.69,0.07,0.41,0.0,0.0,1.72,0.97,64.1,,0.0,1316,1316
1316,Mathias Jørgensen,DEN,1.0,Brentford,Premier League,32.0,8.0,6.0,518.0,0.17,0.34,0.17,50.0,0.5,6.9,0.0,0.0,0.0,42.6,74.4,88.6,76.3,51.6,0.0,0.52,0.52,57.2,1.38,5.52,1.21,1.38,0.17,2.24,37.8,2.59,1.03,0.0,0.69,0.69,0.52,1.03,66.7,9.31,1.38,0.17,0.0,1.72,3.62,5.17,28.1,27.6,13.4,0.0,0.0,0.0,29.5,156.7,105.0,0.34,33.4,95.1,0.34,0.0,0.0,1.55,0.17,0.0,1.38,0.0,0.0,3.1,1.38,69.2,,0.0,1317,1317
1317,Ozan Kabak,TUR,1.0,Norwich City,Premier League,22.0,11.0,11.0,922.0,0.0,0.39,0.2,50.0,0.0,15.0,0.0,0.0,0.0,33.4,82.4,82.1,91.2,63.4,0.0,0.0,0.0,40.6,1.27,7.25,1.08,0.0,0.0,5.49,30.4,0.88,0.98,0.0,0.59,0.59,0.1,0.39,44.4,9.22,1.86,1.18,0.0,2.16,3.43,7.35,31.9,20.4,1.57,1.37,1.76,77.8,31.3,165.8,92.9,0.59,31.4,96.1,0.2,0.0,0.0,1.18,1.27,0.0,0.0,0.2,0.0,2.84,1.96,59.2,,1000000000.0,1318,1318
1318,Christian Kabasele,BEL,1.0,Watford,Premier League,31.0,16.0,12.0,1193.0,0.0,0.53,0.0,0.0,0.0,8.8,0.0,0.0,0.0,27.1,78.9,76.2,88.4,62.3,0.0,0.15,0.08,34.3,0.38,5.04,0.3,0.08,0.0,2.26,26.8,0.6,0.38,0.0,0.53,0.23,0.0,0.23,60.0,6.24,2.48,1.28,0.0,1.95,2.71,8.27,28.0,17.0,1.43,0.0,0.08,0.0,23.4,110.0,45.4,0.3,24.1,98.8,0.0,0.0,0.0,0.45,0.3,0.0,0.08,0.0,0.0,3.76,1.28,74.6,,0.0,1319,1319
1319,Issa Kaboré,BFA,1.0,Troyes,Ligue 1,21.0,31.0,26.0,2254.0,0.0,0.28,0.08,28.6,0.0,18.8,0.0,0.0,0.0,29.5,73.2,87.4,74.0,54.7,0.04,1.44,0.92,40.3,0.48,5.12,1.28,3.16,0.0,6.2,25.3,1.92,2.0,0.08,1.0,0.92,0.2,0.68,39.5,17.7,2.16,0.12,0.0,1.44,3.56,2.36,15.3,22.5,20.0,1.84,3.36,54.8,34.7,225.5,137.3,1.36,31.0,84.1,0.32,0.08,0.04,1.12,1.92,0.16,3.16,0.0,0.0,0.52,0.84,38.2,,500000000.0,1320,1320
1320,Anton Kade,GER,2.0,Hertha BSC,Bundesliga,18.0,4.0,0.0,77.0,0.0,1.11,1.11,100.0,0.0,13.6,0.0,0.0,0.0,23.3,67.7,81.8,76.9,20.0,0.0,0.0,0.0,34.4,0.0,6.67,0.0,2.22,0.0,1.11,17.8,1.11,0.0,0.0,3.33,2.22,0.0,1.11,25.0,47.8,1.11,0.0,0.0,3.33,8.89,1.11,15.6,20.0,24.4,0.0,5.56,0.0,28.9,115.6,87.8,1.11,23.3,75.0,0.0,0.0,0.0,2.22,2.22,0.0,2.22,0.0,0.0,2.22,3.33,40.0,DF,100000000.0,1321,1321
1321,Pavel Kade?ábek,CZE,1.0,Hoffenheim,Bundesliga,30.0,19.0,14.0,1195.0,0.08,0.83,0.15,18.2,0.09,9.9,0.0,0.0,0.0,38.1,74.4,83.0,77.1,61.3,0.15,1.5,0.75,51.2,0.38,6.77,0.45,3.23,0.0,4.21,31.6,1.58,2.33,0.3,0.53,0.38,0.3,0.53,46.7,10.2,1.8,0.38,0.0,1.05,2.26,2.78,14.6,25.0,23.2,0.0,0.15,0.0,28.6,147.0,90.8,0.08,36.6,85.6,0.38,0.0,0.0,1.35,0.75,0.15,3.23,0.0,0.0,3.61,2.41,60.0,,0.0,1322,1322
1322,Tino Kadewere,ZIM,3.0,Lyon,Ligue 1,26.0,15.0,3.0,506.0,0.18,3.21,1.25,38.9,0.06,12.8,0.0,0.0,0.0,24.3,81.4,92.4,76.0,50.0,0.0,1.25,0.36,29.8,0.0,5.71,0.71,1.25,0.0,2.68,24.1,0.71,2.14,0.0,0.54,0.89,0.54,0.71,36.4,22.3,1.96,0.0,0.0,1.25,3.21,0.18,4.64,20.0,23.0,1.25,1.96,63.6,28.0,142.0,81.1,1.96,31.1,66.9,0.0,0.18,0.0,1.07,0.89,0.54,1.25,0.0,0.0,0.89,2.86,23.8,,500000000.0,1323,1323
